Star1_ID,Star2_ID,AngularSeparation_rad
15863,5165,0.002068
26549,26551,0.002987
97165,51576,0.003402
71683,71681,0.004920
37279,5447,0.008157
68895,28103,0.009387
14135,59747,0.010488
85927,33018,0.013508
63608,28103,0.013534
89931,79882,0.013719
52419,68895,0.015409
45941,79882,0.016240
93506,79882,0.016407
27628,92420,0.016986
3419,52727,0.017528
72607,10602,0.017729
63608,68895,0.017729
45941,89931,0.017985
76600,82729,0.018388
76267,68756,0.018448
21281,82729,0.020343
45941,93506,0.020527
9640,7607,0.020976
82545,33856,0.021167
8903,71795,0.021272
61585,44471,0.021291
21281,76600,0.022698
28380,89937,0.023514
76267,79882,0.023688
68002,101772,0.024358
79882,68756,0.024633
52419,28103,0.024640
93506,68756,0.026353
76267,89931,0.026648
69996,71053,0.027129
52419,63608,0.028608
9640,113726,0.029038
93506,89931,0.029151
102098,42913,0.030030
23685,15900,0.031243
36188,85670,0.031429
47908,42828,0.031868
32362,19780,0.032670
65378,113726,0.033102
2081,55219,0.033319
65378,7607,0.035015
68933,84345,0.035109
71075,98337,0.035156
42828,77622,0.035171
76267,93506,0.035199
89931,68756,0.035222
2081,50371,0.035337
109492,55219,0.035961
23875,48774,0.036225
47908,77622,0.037305
9640,65378,0.037459
45238,77952,0.037642
85267,99240,0.037834
61932,59803,0.037862
76267,45941,0.039289
65378,63608,0.039350
45941,68756,0.039910
54872,106032,0.040170
78820,50099,0.040458
61585,81266,0.041033
46853,57757,0.041065
81266,44471,0.041860
113368,71352,0.043004
21281,67472,0.043079
61932,93194,0.043807
113368,23015,0.043965
59803,73334,0.044136
113726,7607,0.044501
9884,113726,0.045119
37740,30867,0.045319
93506,50371,0.045712
36188,64962,0.045755
65378,52419,0.045943
86742,94376,0.045959
17678,71795,0.045980
50371,68756,0.046039
93506,109492,0.046935
76267,82729,0.046978
27989,51576,0.047212
113368,61932,0.047612
50371,55219,0.047832
109492,50371,0.048287
65378,68895,0.048695
67472,82729,0.049273
32768,43813,0.049439
87833,68245,0.050134
100751,88771,0.050144
27989,97165,0.050729
65378,28103,0.050834
109074,16083,0.050871
74666,81833,0.050950
86670,92041,0.052042
71352,93194,0.053339
108085,77516,0.053711
8903,17678,0.054104
33977,68245,0.056042
45941,109492,0.056430
30324,32607,0.056607
86670,47908,0.056674
9884,65378,0.057035
3821,74666,0.057312
50583,89642,0.057864
61932,71352,0.058103
2081,109492,0.058873
25281,45080,0.058996
61932,73334,0.059088
79882,50371,0.059154
71860,99240,0.059283
61359,55219,0.060237
68756,82729,0.060551
30324,106985,0.061024
76267,76600,0.061960
67927,42536,0.062097
59196,2920,0.062271
79882,109492,0.062387
101772,46733,0.062411
90185,61199,0.062553
86742,37229,0.062754
78401,71075,0.062806
97649,63125,0.062870
21421,30867,0.062942
30343,46701,0.062967
63125,36377,0.063006
67472,76600,0.063097
52419,7607,0.063313
2081,61359,0.063854
86974,33018,0.064268
76267,50371,0.064433
82273,102618,0.064468
57632,72105,0.064546
28360,85727,0.064943
2920,26549,0.065086
76267,21281,0.065389
45941,50371,0.065996
80763,77622,0.066765
9884,63608,0.066863
89931,82729,0.066868
90185,15474,0.067065
27366,54879,0.067178
2920,26551,0.067318
26727,34444,0.067388
72105,9236,0.067421
21421,37740,0.067430
23015,106032,0.067469
63608,113726,0.067659
76267,67472,0.067784
75097,7097,0.068041
45556,10064,0.068199
109492,68756,0.068563
68702,84143,0.068740
78401,98337,0.069027
89931,67472,0.069188
14576,12706,0.069194
79882,82729,0.069615
42913,71352,0.069682
113368,59803,0.069728
63608,7607,0.069953
94376,37229,0.070358
81377,97165,0.070383
24436,34444,0.071438
68002,46733,0.071923
3419,73273,0.072298
73273,52727,0.072318
45941,54872,0.072655
89931,109492,0.072664
76600,68756,0.072685
89931,50371,0.072841
68895,7607,0.072988
14576,74785,0.073081
81377,51576,0.073374
93506,55219,0.073613
9884,9640,0.073624
9236,72220,0.073714
113368,93194,0.073975
37229,28103,0.074218
85927,86974,0.074310
50372,102422,0.074637
93805,75177,0.074913
82273,66657,0.075504
61941,7607,0.075513
54872,23015,0.075837
49583,71053,0.075843
25930,46651,0.076310
73334,93194,0.076469
87833,33977,0.076608
9640,63608,0.076668
54872,109492,0.076855
79593,59774,0.076862
85670,64962,0.076943
9640,52419,0.077251
59803,93194,0.077505
60718,82396,0.077710
2081,93506,0.077952
71352,23015,0.078228
7607,28103,0.078405
57632,101769,0.078424
52419,113726,0.078978
4427,14135,0.079179
9884,28103,0.079660
67927,46651,0.079823
79882,67472,0.079939
32607,106985,0.080105
21281,68756,0.080256
29655,66249,0.080274
68895,113726,0.080296
113726,28103,0.080674
25985,106985,0.080691
63608,37229,0.080846
22449,6867,0.080990
97649,746,0.081013
60718,112122,0.081038
50801,1562,0.081378
2081,68756,0.081380
25985,13209,0.081613
76267,109492,0.081654
89931,21281,0.081849
47908,92041,0.082088
2081,93805,0.082120
93506,82729,0.082139
68895,37229,0.082177
61941,42828,0.082803
86670,77622,0.083470
45941,82729,0.083565
9640,68895,0.083954
89931,76600,0.084081
25606,90422,0.084159
86032,74785,0.084244
9884,68895,0.084349
24608,27989,0.084526
9884,7607,0.085097
9640,61941,0.085259
79882,76600,0.085394
59196,26551,0.085461
59196,26549,0.085469
54872,93506,0.085967
66657,61585,0.086035
67472,68756,0.086196
45941,67472,0.086456
54872,89931,0.086676
73334,64962,0.086736
21281,79882,0.086747
74785,12706,0.086758
99473,84380,0.086998
24436,8796,0.087074
92041,77622,0.087184
80763,42828,0.087301
30438,20042,0.087316
55219,68756,0.087401
9640,28103,0.087487
4427,59747,0.087498
18532,116727,0.087814
23875,73334,0.087874
45941,55219,0.088343
86670,42828,0.088477
77233,7097,0.088477
14135,93085,0.088737
54872,79882,0.088818
61932,23015,0.088868
32362,7097,0.088903
83895,88048,0.089972
79882,55219,0.089992
59747,93085,0.090326
90422,50372,0.090835
9884,52419,0.091081
61941,47908,0.091174
69996,49583,0.091455
25281,75695,0.091625
59316,87261,0.092152
109268,53910,0.092229
50099,75695,0.092339
68933,9236,0.092465
113881,77070,0.092597
34444,8796,0.092649
75097,19780,0.092827
23875,64962,0.092830
2021,25606,0.092848
2081,79882,0.092908
102422,55282,0.093108
112029,37229,0.093232
71352,59803,0.093884
61359,93805,0.094944
82396,56561,0.095075
61359,109492,0.095230
93506,67472,0.096225
50371,75177,0.096378
93506,76600,0.096478
71860,85267,0.096536
46853,76600,0.096716
52419,37229,0.096858
45941,2081,0.097025
61359,50371,0.097335
74785,83000,0.097417
67301,17499,0.098047
24436,26727,0.098458
71681,92420,0.098645
64962,48774,0.098783
102098,71352,0.098810
32349,85258,0.098812
77516,49841,0.098838
19780,7097,0.098871
2081,75177,0.099109
88635,106985,0.099160
45941,106032,0.099232
80763,26311,0.099324
45941,21281,0.099397
76267,2081,0.099774
59803,23015,0.099826
45941,76600,0.100127
14576,73714,0.100389
93506,21281,0.100430
49669,78384,0.100771
5447,32759,0.101052
37279,32759,0.101762
89931,55219,0.102319
746,63125,0.102771
50371,82729,0.102794
71683,92420,0.103209
81693,45860,0.103245
80763,47908,0.103396
44127,17499,0.103955
76267,55219,0.104155
74395,6537,0.104270
66657,44471,0.104546
113368,73334,0.104598
59316,22449,0.104990
65474,67472,0.105032
87261,57363,0.105162
113368,42913,0.105273
65474,11767,0.105606
93805,50371,0.105621
75097,32362,0.105812
46853,75177,0.106063
71681,27628,0.106432
2081,89931,0.106519
113368,106032,0.106941
94376,28103,0.107154
3821,81833,0.107591
81833,68245,0.107811
68702,102488,0.108057
68933,75177,0.108241
38170,20889,0.108288
89931,106032,0.108474
9884,112029,0.108501
42913,93194,0.108556
67301,44127,0.108826
33977,57757,0.108918
54872,55219,0.109664
15474,61199,0.109827
92041,42828,0.109859
94376,68895,0.109984
100751,76470,0.110011
68756,75177,0.110120
65378,61941,0.110137
39429,59747,0.110155
45080,75695,0.110228
82514,33856,0.110487
50371,76600,0.110903
54872,68756,0.111133
71683,27628,0.111256
64962,93194,0.111504
76267,54872,0.111685
